id,creation_date,is_admin_closure,is_removed,ref,nom,statuts,types,contrat,"type ticket",pseudo
518088,"2024-01-15 10:03:25",0,0,HTDT5075-A,HYUNDAI,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BUILDER / TCK","Prise en charge Hors Garantie",Nadine
518091,"2024-01-15 10:05:49",0,0,S-AC-8-IN,HAIER,"La station doit faire un diagnostic de la machine.",NULL,"Climatiseurs HAIER","Demande de Garantie",Roulio
518096,"2024-01-15 10:59:44",0,0,HTDT5075-1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
518117,"2024-01-15 15:03:42",0,0,"CSP2525 (PN2500-2A)",BRICOMARCHE,"Le client doit indiquer s'il accepte ou non le devis SWAP",NULL,"BCM Johnwin","Prise en charge Hors Garantie",Nadine
518121,"2024-01-15 15:13:00",0,0,"BG ECS2000-21",BESTGREEN,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BCM Johnwin","Demande de réparation en station.","01 - Agent Technique SWAP"
518123,"2024-01-15 15:30:09",0,0,HFBE8T55-1,HYUNDAI,"La station doit faire un diagnostic de la machine.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","01 - Agent Technique SWAP"
518167,"2024-01-15 16:26:33",0,0,RAC62PRRS,RACING,"La station doit faire un diagnostic de la machine.",NULL,"BUILDER / TCK","Demande de Garantie","01 - Agent Technique SWAP"
518231,"2024-01-16 08:19:35",0,0,HG2201-PL,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
518236,"2024-01-16 08:40:27",0,0,HG2201-PL-A,HYUNDAI,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","BUILDER / TCK","Demande de réparation en station.","Anna R"
518248,"2024-01-16 10:06:23",0,0,"BG ECS2000",BESTGREEN,"La station a fait une demande de réparation qui doit être modérée par un admin.","Réparation sous garantie","HG Divers","Demande de réparation en station.","01 - Agent Technique SWAP"
